Brand,Product Name,Ingredients,Product Image,
Eva NYC,"Eva NYC Healthy Heat Nano Silk Styling Iron - 1""",,https://target.scene7.com/is/image/Target/GUEST_4c204943-fbc2-4688-9cbb-95652f424759?wid=488&hei=488&fmt=webp,https://www.target.com/p/eva-nyc-healthy-heat-nano-silk-styling-iron-1/-/A-75562677
Eva NYC,Eva NYC Lavender Crystal Mini Healthy Heat Thermal Straightening Brush,,https://target.scene7.com/is/image/Target/GUEST_5c8e0aef-60b6-44e0-b422-38fb57fc9b03?wid=488&hei=488&fmt=webp,https://www.target.com/p/eva-nyc-lavender-crystal-mini-healthy-heat-thermal-straightening-brush/-/A-75562670
Gold N Hot,"Gold N Hot Professional 24K Gold Spring Curling Iron - 1/2""",,https://target.scene7.com/is/image/Target/GUEST_d601385c-ca2a-4dbe-bd1a-4b2ae226ddb7?wid=488&hei=488&fmt=webp,https://www.target.com/p/gold-n-hot-professional-24k-gold-spring-curling-iron-1-2/-/A-75567604
Gold N Hot,Gold-N-Hot Professional 24K Gold Pressing and Styling Comb,,https://target.scene7.com/is/image/Target/GUEST_11378c3f-cfb6-4929-8cf1-d1ff573594b0?wid=488&hei=488&fmt=webp,https://www.target.com/p/gold-n-hot-professional-24k-gold-pressing-and-styling-comb/-/A-75567607
Hask,Hask Charcoal Purifying Dry Shampoo - 6.3 fl oz,"Inactive ingredients: sbutane, propane, alcohol denat., oryza sativa (rice) starch, charcoal powder, citrus grandis (grapefruit) peel oil, citrus limon (lemon) peel oil, disteardimonium hectorite, cyclopentasiloxane, isobutane, fragrance, citral, geraniol, hexyl cinnamal, limonene, linalool",https://target.scene7.com/is/image/Target/GUEST_76fcef8c-81f8-46f7-b52f-0cf51e472edc?wid=488&hei=488&fmt=webp,https://www.target.com/p/hask-charcoal-purifying-dry-shampoo-6-3-fl-oz/-/A-75574622
Hask,Hask Chia Seed Volumizing Dry Shampoo - 6.3 fl oz,"Inactive ingredients: sbutane, propane, alcohol denat., oryza sativa (rice) starch, salvia hispanica (chia) seed oil, disteardimonium hectorite, cyclopentasiloxane, isobutane, parfum/fragrance, butylphenyl methylpropional, citronellol, limonene, linalool",https://target.scene7.com/is/image/Target/GUEST_82641335-e7ce-4e5c-9024-9d4ec2e4b845?wid=488&hei=488&fmt=webp,https://www.target.com/p/hask-chia-seed-volumizing-dry-shampoo-6-3-fl-oz/-/A-75574623
Hask,Hask Coconut Oil Nourishing Deep Conditioner - 1.75 fl oz,"Inactive ingredients: saqua/water/eau, cetearyl alcohol, cetrimonium chloride, quaternium-18, gardenia taitensis (monoi) flower extract, cocos nucifera (coconut) oil, linum usitatissimum (linseed) seed oil, vaccinium myrtillus (bilberry) fruit extract, glycerin, hydrolyzed collagen, hydrolyzed keratin, panthenyl hydroxypropyl steardimonium chloride, isopropyl palmitate, sodium lauroyl oat amino acids, silk amino acids, sodium pca, tetrasodium edta, citric acid, phenoxyethanol, benzyl alcohol, chlorphenesin, ethylhexylglycerin, potassium sorbate, sodium benzoate, sodium hydroxide, parfum/fragrance",https://target.scene7.com/is/image/Target/GUEST_b1e4488b-5efd-4e80-a4af-1e4ec78fa598?wid=488&hei=488&fmt=webp,https://www.target.com/p/hask-coconut-oil-nourishing-deep-conditioner-1-75-fl-oz/-/A-75648710
Knight&Wilson,Knight & Wilson Color Freedom Metallic Glory Permanent Hair Color - Rose Gold - 4.7 fl oz,,https://target.scene7.com/is/image/Target/GUEST_166073a6-2eb8-43b0-998c-e53765022e0b?wid=488&hei=488&fmt=webp,https://www.target.com/p/knight-wilson-color-freedom-metallic-glory-permanent-hair-color-rose-gold-4-7-fl-oz/-/A-75564103
Knight&Wilson,Knight & Wilson Color Freedom Metallic Glory Permanent Hair Color - Silver Blonde - 4.7 fl oz,,https://target.scene7.com/is/image/Target/GUEST_c8d64283-a838-4279-b15b-b86bd1251cec?wid=488&hei=488&fmt=webp,https://www.target.com/p/knight-wilson-color-freedom-metallic-glory-permanent-hair-color-silver-blonde-4-7-fl-oz/-/A-75564097
Pantene,Pantene Pro-V Intense Rescue Shots Ampoules Hair Treatment - 1.5 fl oz,,https://target.scene7.com/is/image/Target/GUEST_b87b1d28-9f06-4556-954b-f12b2ae7e972?wid=488&hei=488&fmt=webp,https://www.target.com/p/pantene-pro-v-intense-rescue-shots-ampoules-hair-treatment-1-5-fl-oz/-/A-75563360
