Brand,Product,Ingredients,Item Link
TEAMI BLENDS,Green Tea Blend Detox Mask,"['Aqua (Distilled Water)', ' Bentonite Clay', ' Kaolin Clay', ' Organic Camellia Sinensis (Matcha Green Tea)', ' Glycerin (Vegetable based)', ' Prunus Dulcis (Sweet Almond Oil)', ' Organic Aloe Barbadensis Leaf', ' Tocopheryl Acetate (Vitamin E)', ' Green Tea &amp; Lemongrass Botanical Essence', ' Phenoxyethanol', ' Ethylhexylglycerin', ' Tetrasodium EDTA', ' Chromium Oxide']",https://www.ulta.com/green-tea-blend-detox-mask?productId=xlsImpprod18101165
BAREMINERALS,SKINLONGEVITY Vital Power Infusion Serum,"['Water (Aqua/Eau)', ' Propanediol', ' PEG-6', ' Niacinamide', ' Ascorbyl Glucoside', ' Glycerin', ' PEG/PPG-17/4 Dimethyl Ether', ' Isodecyl Neopentanoate', ' Squalane', ' Butylene Glycol', ' Dimethicone', ' PEG-400', ' Potassium Hydroxide', ' Isostearic Acid', ' Carbomer', ' Alcohol', ' Ethylhexylglycerin', ' Lauryl Betaine', ' Behenyl Alcohol', ' Stearamidopropyl Dimethylamine', ' Xanthan Gum', ' Sodium Citrate', ' Beheneth-20', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Tocopherol', ' Batyl Alcohol', ' Disodium EDTA', ' Sodium Metaphosphate', ' Citric Acid', ' Polysorbate 20', ' Sodium Metabisulfite', ' Peucedanum Japonicum Leaf/Stem Extract', ' Eschscholtzia Californica Leaf Cell Extract', ' Saccharomyces Ferment Lysate Filtrate', ' Citrus Unshiu Peel Extract', ' Palmitoyl Tetrapeptide-7', ' Palmitoyl Tripeptide-1', ' Zingiber Aromaticus Extract', ' Fragrance (Parfum)', ' Limonene', ' Linalool', ' Geraniol', ' Sodium Benzoate', ' Phenoxyethanol', ' Iron Oxides (CI 77491', ' CI 77492)']",https://www.ulta.com/skinlongevity-vital-power-infusion-serum?productId=xlsImpprod13481017
MAMONDE,Petal Purifying Bubble Mask,"['Water / Aqua / Eau', ' Kaolin', ' Glycerin', ' Bentonite', ' Methyl Perfluoroisobutyl Ether', ' Methyl Perfluorobutyl Ether', ' Propanediol', ' Myristic Acid', ' Potassium Hydroxide', ' Palmitic Acid', ' Alcohol', ' Stearic Acid', ' 1', '2-Hexanediol', ' Rosa Gallica Flower Powder', ' Iron Oxides (CI 77491)', ' Fragrance/Parfum', ' Citric Acid', ' Ethylhexylglycerin', ' Salvia Hispanica Seed Extract', ' Centella Asiatica Extract', ' Houttuynia Cordata Extract', ' Allantoin', ' Disodium EDTA', ' Butylene Glycol', ' Camellia Sinensis Leaf Extract', ' Lauric Acid', ' Methylpropanediol', ' Methyl Gluceth-20', ' Cetyl Alcohol', ' Stearyl Alcohol', ' Mentha Piperita (Peppermint) Extract']",https://www.ulta.com/petal-purifying-bubble-mask?productId=xlsImpprod17741129
LANCÔME,Advanced Génifique Youth Activating Serum,"['Active: Bifidus Extract. Inactive: Water', ' Bifida Ferment Lysate', ' Glycerin', ' Alcohol Denat.', ' Dimethicone', ' Hydroxyethylpiperazine Ethane Sulfonic Acid', ' Ascorbyl Glucoside', ' Sodium Hyaluronate', ' Sodium Hydroxide', ' Sodium Benzoate', ' Phenoxyethanol', ' Adenosine', ' Faex Extract/Yeast Extract/Extrait De Levure', ' PEG-20 Methyl Glucose Sesquistearate', ' PEG-60 Hydrogenated Castor Oil', ' Salicyloyl Phytosphingosine', ' Ammonium Polyacryldimethyltauramide/Ammonium Polyacryloyldimethyl Taurate', ' Limonene', ' Xanthan Gum', ' Caprylyl Glycol', ' Disodium Edta', ' Octyldodecanol', ' Citronellol', ' Fragrance']",https://www.ulta.com/advanced-genifique-youth-activating-serum?productId=xlsImpprod5350063
MARIO BADESCU,Plastic Bottle Drying Lotion,"['Isopropyl Alcohol', ' Aqua (Water', ' Eau)', ' Calamine', ' Zinc Oxide', ' Titanium Dioxide', ' Sulfur', ' Camphor', ' Talc', ' Glycerin', ' Salicylic Acid']",https://www.ulta.com/plastic-bottle-drying-lotion?productId=xlsImpprod6200681
NO7,Restore & Renew Face & Neck Multi-Action Serum,"['Aqua (Water)', ' Dimethicone', ' Glycerin', ' Butylene glycol', ' Aluminum starch octenylsuccinate', ' Isononyl isononanoate', ' Gluconolactone', ' Dimethicone crosspolymer', ' Cetearyl alcohol', '  Ammonium acryloyldimethyltaurate/VP copolymer', ' Phenoxyethanol', ' 3-O-ethyl ascorbic acid', '  Pentylene glycol', ' Polysorbate 20', ' Potassium hydroxide', ' Xanthan gum', ' Dimethiconol', ' Hibiscus abelmoschus extract', ' Parfum (Fragrance)', ' Sodium hyaluronate', ' Retinyl palmitate', ' Caprylyl glycol', ' Propylene glycol', ' Tocopheryl acetate', ' Sorbitan laurate', ' Hydrolyzed rice protein', ' Ethylhexylglycerin', ' Carbomer', ' Sodium lauroyl lactylate', ' Phyllanthus emblica fruit extract', ' Calcium hydroxymethionine', ' 3-Aminopropane sulfonic acid', ' Dipropylene glycol', ' Hydroxyethylcellulose', ' Tetrasodium EDTA', ' T-butyl alcohol', ' Sophora angustifolia root extract', ' Hydroxypropyl cyclodextrin', ' Panax ginseng root extract', ' Acetyl dipeptide-1 cetyl ester', ' Ceramide 3', ' Morus alba leaf extract', ' Sodium benzoate', ' Phytosphingosine', ' Ceramide 6 II', ' Cholesterol', ' Tocopherol', ' Palmitoyl tripeptide-1', ' Palmitoyl tetrapeptide-7', ' Ceramide 1']",https://www.ulta.com/restore-renew-face-neck-multi-action-serum?productId=xlsImpprod16411187
NO7,Lift & Luminate Triple Action Serum,"['Aqua (Water)', ' Dimethicone', ' Butylene glycol', ' Glycerin', ' Aluminum starch octenylsuccinate', ' Isononyl isononanoate', ' Gluconolactone', ' Dimethicone crosspolymer', ' Ammonium acryloyldimethyltaurate/VP copolymer', ' 3-O-ethyl ascorbic acid', ' Phenoxyethanol', ' Polysorbate 20', ' Potassium hydroxide', ' Xanthan gum', ' Pentylene glycol', ' Dimethiconol', ' Hibiscus abelmoschus extract', ' Parfum (Fragrance)', ' Sodium hyaluronate', ' Retinyl palmitate', ' Propylene glycol', ' Tocopheryl acetate', ' Sorbitan laurate', ' Phyllanthus emblica fruit extract', ' Hydrolyzed rice protein', ' Methylparaben', ' Carbomer', ' Ethylparaben', ' Tetrasodium EDTA', ' T-butyl alcohol', ' Sophora angustifolia root extract', ' Hydroxypropyl cyclodextrin', ' Panax ginseng root extract', ' Hydroxyethylcellulose', ' Dipropylene glycol', ' Acetyl dipeptide-1 cetyl ester', ' Morus alba leaf extract', ' Sodium benzoate', ' Tocopherol', ' Palmitoyl tripeptide-1', ' Palmitoyl tetrapeptide-7</div>']",https://www.ulta.com/lift-luminate-triple-action-serum?productId=xlsImpprod15321241
CLARINS,Double Serum,"['Aqua/Water/Eau', ' Cetearyl Isononanoate', ' Glycerin', ' Isononyl Isononanoate', ' Caprylic/Capric Triglyceride', ' Pentylene Glycol', ' Ppg-3 Myristyl Ether', ' Ethylene/Propylene/Styrene Copolymer', ' Dipsacus Sylvestris Extract', ' Butylene Glycol', ' Parfum/ Fragrance', ' Phenoxyethanol', ' Propanediol', ' Tromethamine. Silybum Marianum Seed Oil', ' Carbomer', ' Tocopheryl Acetate', ' Escin', ' Cheno - Podium Quinoa Seed Extract', ' Ethylhexylglycerin', ' Squalane .Avena Sativa (Oat) Kernel Extract', ' Theobroma Cacao (Cocoa) Extract', ' Butylene/Ethylene/Styrene Copolymer', ' Leontopodium Alpinum Extract', ' Xanthan Gum', ' Persea Gratissima (Avocado) Oil Unsaponifiables', ' Caramel', ' Curcuma Longa (Turmeric) Root Extract', ' Salicyloyl Phytosphingosine', ' Musa Sapientum (Banana) Fruit Extract', ' Salicornia Herbacea Extract', ' Actinidia Chinensis (Kiwi) Fruit Extract', ' Kalanchoe Pinnata Leaf Extract .Sodium Benzoate .Citric Acid', ' Myrothamnus Flabellifolia Leaf/Stem Extract', ' Disodium Edta .Tocopherol', ' Lycium Barbarum Fruit Extract .Maltodextrin', ' Orthosiphon Stamineus Extract', ' Hedychium Coronarium Root Extract', ' Mangifera Indica (Mango) Leaf Extract', ' Potassium Sorbate', ' Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate. Jania Rubens Extract', ' Ascorbic Acid', ' Sodium Citrate', ' Engelhardtia Chrysolepis Leaf Extract', ' Ci 14700/Red 4 ', ' Callicarpa Japonica Fruit Extract']",https://www.ulta.com/double-serum?productId=xlsImpprod16621063
MAD HIPPIE,Vitamin C Serum,"['Water Deionized', ' Vitamin C (Sodium Ascorbyl Phosphate)', ' Alkyl Benzoate', ' Vegetable Glycerin', ' Water', ' Glycerin', ' Sodium Levulinate', ' Sodium Anisate', ' Clary Sage (Salvia Sclarea)', ' Grapefruit (Citrus Grandis)', ' Hyaluronic acid', ' Amorphophallus Konjac Root Powder', ' Aloe Barbadensis Leaf', ' Vitamin E (Tocotrienol)', ' Ferulic acid', ' Chamomile Flower Extract (Recutita Matricaria)', ' Sodium Phytate', ' Xanthum Gum', ' Hydroxyethylcellulose']",https://www.ulta.com/vitamin-c-serum?productId=xlsImpprod18731235
NO7,Protect & Perfect Intense Advanced Serum,"['Dimethicone', ' Aqua (Water)', ' Glycerin', ' Dimethicone Crosspolymer', ' Butylene Glycol', ' Sodium Ascorbyl Phosphate', ' PEG/PPG-18/18 Dimethicone', ' Magnesium Sulfate', ' Phenoxyethanol', ' Cetyl PEG/PPG-10/1 Dimethicone', ' Polyglyceryl-4 Isostearate', ' Hexyl Laurate', ' Retinyl Palmitate', ' Hydrolyzed Rice Protein', ' Propylene Glycol', ' Tocopheryl Acetate', ' Sorbitan Laurate', ' Sodium Hyaluronate', ' Methylparaben', ' Carbomer', ' Ethylparaben', ' Medicago Sativa (Alfalfa) Extract', ' Polysorbate 20', ' Hydroxyethylcellulose', ' Panax Ginseng Root Extract', ' Morus Alba Leaf Extract', ' Sodium Benzoate', ' Acetyl Dipeptide-1 Cetyl Ester', ' Tocopherol', ' Ethylhexylglycerin', ' Palmitoyl Oligopeptide', ' Palmitoyl Tetrapeptide-7']",https://www.ulta.com/protect-perfect-intense-advanced-serum?productId=xlsImpprod11481103
