Brand,Product Name,pH,Ingredients,Image Link,Item Link
The Ordinary,Hyaluronic Acid 2% + B5,7,"Aqua (Water), Sodium Hyaluronate, Pentylene Glycol, Propanediol, Sodium Hyaluronate Crosspolymer, Panthenol, Ahnfeltia Concinna Extract, Glycerin, Trisodium Ethylenediamine Disuccinate, Citric Acid, Isoceteth-20, Ethoxydiglycol, Ethylhexylglycerin, Hexylene Glycol, 1,2-Hexanediol, Phenoxyethanol, Caprylyl Glycol.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//rdn-hyaluronic-acid-2pct-b5-30ml.png,https://reissue.co/product/the-ordinary-hyaluronic-acid-2----b5
Aztec Secret,Indian Healing Clay Deep Pore Cleansing,N/A,100% Natural Calcium Bentonite (Green) Clay,https://product-image-uploads.s3-ca-central-1.amazonaws.com//7288c559-3606-47de-a8ca-ff67ee7cfd88_2.c714f705138d023c5e1c7da59efc4a5f.png,https://reissue.co/product/aztec-secret-indian-healing-clay-deep-pore-cleansing
The Ordinary,100% Organic Cold-Pressed Rose Hip Seed Oil,N/A,Rosa Canina Seed Oil.,https://product-image-uploads.s3-ca-central-1.amazonaws.com//rdn-100pct-organic-cold-pressed-rose-hip-seed-oil-30ml.png,https://reissue.co/product/the-ordinary-100--organic-cold-pressed-rose-hip-seed-oil
Drunk Elephant,B-Hydra Intensive Hydration Gel,5.5,"Water/Aqua/Eau, Butylene Glycol, Glycerin, Ammonium Acryloyldimethyltaurate/VP Copolymer, Pentylene Glycol, Ananas Sativus (Pineapple) Fruit Extract, Berberis Vulgaris Root Extract, Citrullus Lanatus (Watermelon) Fruit Extract, Lens Esculenta (Lentil) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Sclerocarya Birrea Seed Oil, Coconut Alkanes, Panthenol, Sodium PCA, Sodium Hyaluronate Crosspolymer, Sodium Lactate, Dipotassium Glycyrrhizate, Coco-Caprylate/Caprate, Cyclodextrin, Trisodium Ethylenediamine Disuccinate, Citric Acid, Chlorphenesin, Caprylyl Glycol, Phenoxyethanol, Ethylhexylglycerin",https://product-image-uploads.s3-ca-central-1.amazonaws.com//B-Hydra-web_1024x1024.png,https://reissue.co/product/drunk-elephant-b-hydra-intensive-hydration-gel
Cetaphil,Gentle Skin Cleanser,N/A,"Water, Cetyl Alcohol, Propylene Glycol, Sodium Lauryl Sulfate, Stearyl Alcohol, Methylparaben, Propylparaben, Butylparaben",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Gentle-Skin-CleanserCetaphil.png,https://reissue.co/product/cetaphil-gentle-skin-cleanser
The Ordinary,Glycolic Acid 7% Toning Solution,3.6,"Aqua (Water), Glycolic Acid, Rosa Damascena Flower Water, Centaurea Cyanus Flower Water, Aloe Barbadensis Leaf Water, Propanediol, Glycerin, Triethanolamine, Aminomethyl Propanol, Panax Ginseng Root Extract, Tasmannia Lanceolata Fruit/Leaf Extract, Aspartic Acid, Alanine, Glycine, Serine, Valine, Isoleucine, Proline, Threonine, Histidine, Phenylalanine, Glutamic Acid, Arginine, PCA, Sodium PCA, Sodium Lactate, Fructose, Glucose, Sucrose, Urea, Hexyl Nicotinate, Dextrin, Citric Acid, Polysorbate 20, Gellan Gum, Trisodium Ethylenediamine Disuccinate, Sodium Chloride, Hexylene Glycol, Potassium Sorbate, Sodium Benzoate, 1,2-Hexanediol, Caprylyl Glycol.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//rdn-glycolic-acid-7pct-toning-solution-240ml.png,https://reissue.co/product/the-ordinary-glycolic-acid-7--toning-solution
Hada Labo,Goku-Jyun Hyaluronic Acid Moist Lotion,N/A,"Water, Butylene Glycol, Glycerin, Disodium Succinate, Hydrolyzed Hyaluronic Acid, Hydroxyethycellulose, Methylparaben, PPG-10 Methyl Glucose Ether, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, Succinic Acid",https://product-image-uploads.s3-ca-central-1.amazonaws.com//HyaluronicRich_HadaLabo.png,https://reissue.co/product/hada-labo-goku-jyun-hyaluronic-acid-moist-lotion
CeraVe,Hydrating Cleanser,N/A,"Aqua, Glycerin, Cetearyl Alcohol, Ceramide NP, Ceramide AP, Ceramide EOP, Phytosphingosine, Cholesterol, Hyaluronic Acid, Sodium Lauroyl Lactylate, Behentrimonium Methosulfate, Glyceryl Monostearate, Stearyl Alcohol, Cetyl Alcohol, PEG-40 Stearate, Polysorbate 20, Potassium Phosphate, Dipotassium Phosphate, Methylparaben, Propylparaben, Disodium EDTA, Carbomer, Xanthan Gum.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//CeraVe_HydratingCleanser_v01.png,https://reissue.co/product/cerave-hydrating-cleanser
Drunk Elephant,T.L.C. Sukari Babyfacial™,3.55,"Water (Aqua), Glycolic Acid, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glycerin, Sodium Hydroxide, Salicylic Acid, Aloe Barbadensis Leaf Extract, Camellia Oleifera Leaf Extract, Lactobacillus/Pumpkin Ferment Extract, Lactobacillus/Punica Granatum Fruit Ferment Extract, Opuntia Ficus-Indica Extract, Pyrus Malus (Apple) Fruit Extract, Silybum Marianum Seed Extract, Saccharomyces Cerevisiae Extract, Vitis Vinifera (Grape) Juice Extract, Camellia Sinensis Leaf Powder, Cicer Arietinum Seed Powder, Sclerocarya Birrea Seed Oil, Passiflora Edulis Seed Oil, Leuconostoc/Radish Root Ferment Filtrate, Sodium Hyaluronate Crosspolymer, Sodium PCA, Allantoin, Dipotassium Glycyrrhizate, Dextrin, Polydextrose, Sorbitan Isostearate, Amylopectin, Niacinamide, Phytosphingosine, Lactic Acid, Propanediol, Citric Acid, Titanium Dioxide, Trisodium Ethylenediamine Disuccinate, Polysorbate 60, Caprylyl Glycol, Chlorphenesin, Phenoxyethanol",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Baby-50-web_1024x1024.png,https://reissue.co/product/drunk-elephant-t-l-c--sukari-babyfacial-
Krave Beauty,Matcha Hemp Hydrating Cleanser,N/A,"Camellia Sinensis Leaf Water, Water, Glycerin, Coco-Betaine, Methyl Gluceth-10, Ethoxydiglycol, Dipropylene Glycol, Methylpropanediol, Sodium Chloride, Butoxydiglycol, Diglycerin, Glycereth-26, Xanthan Gum, Camellia Sinensis Leaf Powder, Quillaja Saponaria Bark Extract, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Cannabis Sativa (Hemp) Seed Oil, Avena Sativa (Oat) Kernel Extract, Diethoxydiglycol, Coco-Glucoside, Caprylyl Glycol, Glyceryl Caprylate, Decyl Glucoside, Pentylene Glycol, 1,2-Hexanediol, Sodium Cocoyl Isethionate, Butylene Glycol, Octanediol, Panthenol (Vitamin B5), Citric Acid, Ethylhexylglycerin, Caprylic/Capric Triglyceride, Sodium PCA, Disodium EDTA",https://product-image-uploads.s3-ca-central-1.amazonaws.com//MATCHA_CLEANSER.png,https://reissue.co/product/krave-beauty-matcha-hemp-hydrating-cleanser
