Brand,Product Name,Ingredients,Image Link,URL Link
COSRX,Triple C Lightning Liquid,"Aronia Melanocarpa fruit extract (Black Chokeberry), Ascorbic acid (Vitamin C), Butylene glycol, Sodium lactate, Licorice root extract, 1,2- Hexanediol, Pullulan, Sodium hyaluronate, Cassia obtusifolia seed extract, Allantoin",https://cdn.shopify.com/s/files/1/0249/1218/products/COSRX-Triple-C-Lightning-Liquid-New-Packaging-2_1024x1024.jpg?v=1527084174,https://sokoglam.com/products/cosrx-triple-c-lightning-liquid
KLAIRS,Freshly Juiced Vitamin C Serum,,https://cdn.shopify.com/s/files/1/0249/1218/products/Klairs-Freshly-Juiced-Vitamin-C-Serum_1024x1024.jpg?v=1496138105,https://sokoglam.com/products/klairs-freshly-juiced-vitamin-c
MAMONDE,Petal Spa Oil To Foam Cleanser,"WATER (AQUA) EAU, PROPANEDIOL, PEG-6 CAPRYLIC/CAPRIC GLYCERIDES, DIPROPYLENE GLYCOL, POTASSIUM COCOYL GLYCINATE, SODIUM METHYL COCOYL TAURATE, LAURYL HYDROXYSULTAINE, ACRYLATES COPOLYMER, SODIUM CHLORIDE, FRAGRANCE / PARFUM, POTASSIUM HYDROXIDE, DISODIUM EDTA, TETRASODIUM EDTA, CAMELLIA OLEIFERA SEED OIL, POLYGLYCERYL-2, TRIISOSTEARATE, ROSA DAMASCENA FLOWER OIL, LITHOSPERMUM ERYTHRORHIZON ROOT EXTRACT, SAPINDUS TRIFOLIATUS FRUIT EXTRACT",https://cdn.shopify.com/s/files/1/0249/1218/products/DSC01829_1024x1024.jpg?v=1531168048,https://sokoglam.com/products/mamonde-petal-spa-oil-to-foam-cleanser
MISSHA,Time Revolution First Treatment Essence Intensive Moist,EASYDEW EX,https://cdn.shopify.com/s/files/1/0249/1218/products/Missha-Time-Revolution-The-First-Treatment-Essence-Intensive-Moist_grande_57a9ddeb-9f2c-4772-8955-1aa17cfaa135_1024x1024.jpg?v=1506963497,https://sokoglam.com/products/missha-time-revolution-first-treatment-essence-intensive-moist
